ExpID;Publication;PublicationName;IonExp;Cells;CellClass;CellOrigin;CellCycle;DNAcontent;PhotonRadiation;PhotonExp;Ion;Charge;IrradiationConditions;LET;Energy;ax_paper;bx_paper;ai_paper;bi_paper;ax_fit;bx_fit;ai_fit;bi_fit
1;1;chapman77;1;V79;n;r;G0;5,6;220kVp;1;4He;2;s;2,34;133,4;0,08;0,0361;0,06;0,04;N/A;N/A;N/A;N/A
2;1;chapman77;2;V79;n;r;G0;5,6;220kVp;1;4He;2;s;2,4;128,8;0,08;0,0361;0,09;0,029;N/A;N/A;N/A;N/A
3;1;chapman77;3;V79;n;r;G0;5,6;220kVp;1;4He;2;s;7,85;28,1;0,08;0,0361;0,14;0,04;N/A;N/A;N/A;N/A
4;1;chapman77;4;V79;n;r;G0;5,6;220kVp;1;4He;2;s;8,13;26,9;0,08;0,0361;0,19;0,032;N/A;N/A;N/A;N/A
5;1;chapman77;5;V79;n;r;G0;5,6;220kVp;1;4He;2;s;9,12;23,4;0,08;0,0361;0,15;0,04;N/A;N/A;N/A;N/A
6;1;chapman77;6;V79;n;r;G0;5,6;220kVp;1;12C;6;s;12,16;319;0,08;0,0361;0,19;0,036;N/A;N/A;N/A;N/A
7;1;chapman77;7;V79;n;r;G0;5,6;220kVp;1;12C;6;s;26;99,8;0,08;0,0361;0,26;0,036;N/A;N/A;N/A;N/A
8;1;chapman77;8;V79;n;r;G0;5,6;220kVp;1;12C;6;s;74,99;26,1;0,08;0,0361;0,5;0,04;N/A;N/A;N/A;N/A
9;1;chapman77;9;V79;n;r;G0;5,6;220kVp;1;20Ne;10;s;37,15;268,7;0,08;0,0361;0,27;0,048;N/A;N/A;N/A;N/A
10;1;chapman77;10;V79;n;r;G0;5,6;220kVp;1;20Ne;10;s;114,81;55;0,08;0,0361;0,51;0,044;N/A;N/A;N/A;N/A
11;1;chapman77;11;V79;n;r;G0;5,6;220kVp;1;20Ne;10;s;136,46;44,4;0,08;0,0361;0,57;0,048;N/A;N/A;N/A;N/A
