# Detector n: 1D Projection
 -1.0000000000E+00 -9.7400000000E-01  0.00000E+00  0.00000E+00
 -9.7400000000E-01 -9.4800000000E-01  0.00000E+00  0.00000E+00
 -9.4800000000E-01 -9.2200000000E-01  0.00000E+00  0.00000E+00
 -9.2200000000E-01 -8.9600000000E-01  0.00000E+00  0.00000E+00
 -8.9600000000E-01 -8.7000000000E-01  0.00000E+00  0.00000E+00
 -8.7000000000E-01 -8.4400000000E-01  0.00000E+00  0.00000E+00
 -8.4400000000E-01 -8.1800000000E-01  0.00000E+00  0.00000E+00
 -8.1800000000E-01 -7.9200000000E-01  0.00000E+00  0.00000E+00
 -7.9200000000E-01 -7.6600000000E-01  0.00000E+00  0.00000E+00
 -7.6600000000E-01 -7.4000000000E-01  0.00000E+00  0.00000E+00
 -7.4000000000E-01 -7.1400000000E-01  0.00000E+00  0.00000E+00
 -7.1400000000E-01 -6.8800000000E-01  0.00000E+00  0.00000E+00
 -6.8800000000E-01 -6.6200000000E-01  0.00000E+00  0.00000E+00
 -6.6200000000E-01 -6.3600000000E-01  0.00000E+00  0.00000E+00
 -6.3600000000E-01 -6.1000000000E-01  0.00000E+00  0.00000E+00
 -6.1000000000E-01 -5.8400000000E-01  0.00000E+00  0.00000E+00
 -5.8400000000E-01 -5.5800000000E-01  0.00000E+00  0.00000E+00
 -5.5800000000E-01 -5.3200000000E-01  0.00000E+00  0.00000E+00
 -5.3200000000E-01 -5.0600000000E-01  0.00000E+00  0.00000E+00
 -5.0600000000E-01 -4.8000000000E-01  0.00000E+00  0.00000E+00
 -4.8000000000E-01 -4.5400000000E-01  0.00000E+00  0.00000E+00
 -4.5400000000E-01 -4.2800000000E-01  0.00000E+00  0.00000E+00
 -4.2800000000E-01 -4.0200000000E-01  0.00000E+00  0.00000E+00
 -4.0200000000E-01 -3.7600000000E-01  0.00000E+00  0.00000E+00
 -3.7600000000E-01 -3.5000000000E-01  0.00000E+00  0.00000E+00
 -3.5000000000E-01 -3.2400000000E-01  0.00000E+00  0.00000E+00
 -3.2400000000E-01 -2.9800000000E-01  0.00000E+00  0.00000E+00
 -2.9800000000E-01 -2.7200000000E-01  0.00000E+00  0.00000E+00
 -2.7200000000E-01 -2.4600000000E-01  0.00000E+00  0.00000E+00
