Depth[mm] Y[1/Cell/Gy] Yerr[1/Cell/Gy] lambda[1/Cell/Gy] lambdaerr[1/Cell/Gy]
0.0 47.2976 0.204881 0.116281 0.000814646
0.5 47.2705 0.19544 0.117453 0.000814958
1.0 47.5851 0.196661 0.119626 0.000886293
1.5 47.6653 0.19426 0.121243 0.000911018
2.0 47.4703 0.192417 0.122215 0.000943565
2.5 47.6392 0.198239 0.128102 0.00427008
3.0 47.6047 0.192478 0.125777 0.0010187
3.5 47.4507 0.188059 0.127591 0.00109374
4.0 47.7829 0.199199 0.129888 0.00112282
4.5 47.9155 0.200147 0.133266 0.00128546
5.0 47.7577 0.189404 0.134449 0.0013197
5.5 47.7792 0.202768 0.135929 0.00138872
6.0 47.5972 0.191816 0.136827 0.00145512
6.5 47.9229 0.195934 0.138989 0.00148151
7.0 47.4012 0.191408 0.13903 0.0015888
7.5 47.5412 0.188014 0.141197 0.00166372
8.0 47.796 0.196945 0.143631 0.00181488
8.5 47.7447 0.194111 0.14548 0.00192232
9.0 47.9799 0.191102 0.148553 0.00212158
9.5 47.7979 0.196616 0.149752 0.00227333
10.0 47.7708 0.194651 0.153359 0.0027967
10.5 47.8417 0.191563 0.160353 0.00368923
11.0 47.9155 0.198247 0.16993 0.0063609
11.5 48.0741 0.196249 0.167601 0.0039341
12.0 47.6775 0.198546 0.16578 0.00298862
12.5 47.9397 0.207668 0.180789 0.00631553
13.0 48.6295 0.202823 0.18191 0.0041373
13.5 48.2151 0.204536 0.183268 0.0038819
14.0 48.5044 0.205733 0.19661 0.00652243
14.5 48.3467 0.204419 0.198392 0.0049449
15.0 48.2776 0.200841 0.20244 0.0048432
15.5 48.5063 0.200887 0.213898 0.00670771
16.0 48.5744 0.209883 0.218717 0.00657199
16.5 48.9804 0.214594 0.233854 0.00767745
17.0 48.7667 0.206519 0.242376 0.00719278
17.5 49.434 0.208708 0.254725 0.00703272
18.0 49.2921 0.218577 0.267876 0.00758506
18.5 49.3957 0.220563 0.288007 0.00767393
19.0 49.8549 0.221704 0.324027 0.0142694
19.5 50.3795 0.227383 0.355419 0.0149581
20.0 51.0412 0.231279 0.395849 0.0155427
20.5 51.4967 0.256943 0.463593 0.0206221
21.0 52.7884 0.264377 0.564541 0.0236209
21.5 54.8417 0.291793 0.791978 0.0311934
22.0 62.1264 0.43728 1.56825 0.061384
22.5 73.3535 0.540198 3.04801 0.0855048
23.0 118.49 0.257448 11.893 0.0258403
23.5 117.943 0.260837 11.838 0.0261805
24.0 118.27 0.250986 11.8709 0.0251918
24.5 118.67 0.266977 11.911 0.0267967
25.0 118.868 0.266417 11.931 0.0267405
25.5 119.195 0.25444 11.9637 0.0255385
26.0 118.22 0.263952 11.8659 0.0264932
26.5 118.138 0.265601 11.8576 0.0266586
27.0 118.607 0.268968 11.9047 0.0269966
27.5 119.146 0.257505 11.9588 0.0258461
28.0 118.753 0.257732 11.9193 0.0258688
28.5 117.786 0.256989 11.8223 0.0257943
29.0 118.058 0.26724 11.8496 0.0268232
29.5 118.431 0.268214 11.887 0.0269209
30.0 118.601 0.251313 11.9041 0.0252246
30.5 118.253 0.25197 11.8692 0.0252906
31.0 118.254 0.256021 11.8693 0.0256971
31.5 118.258 0.26089 11.8697 0.0261858
32.0 118.765 0.253297 11.9206 0.0254237
32.5 118.279 0.255507 11.8718 0.0256456
33.0 119.005 0.257878 11.9446 0.0258835
33.5 118.314 0.245381 11.8753 0.0246292
34.0 55.3009 0.204381 0.732745 0.00270807
34.5 66.2107 0.219648 1.79696 0.00596128
35.0 118.563 0.258484 11.9003 0.0259443
35.5 118.705 0.25644 11.9146 0.0257392
36.0 50.764 0.199352 0.372925 0.00146449
36.5 53.4053 0.204772 0.595699 0.00228409
37.0 118.478 0.269947 11.8918 0.0270949
37.5 118.202 0.26451 11.8641 0.0265491
38.0 118.584 0.246511 11.9024 0.0247426
38.5 118.23 0.244647 11.8669 0.0245555
39.0 118.696 0.25737 11.9136 0.0258325
39.5 118.908 0.262822 11.9349 0.0263797
40.0 117.935 0.257485 11.8373 0.0258441
40.5 118.351 0.260734 11.8791 0.0261702
41.0 118.646 0.254776 11.9087 0.0255721
41.5 49.1335 0.196608 0.223342 0.000893704
42.0 49.4853 0.191453 0.251238 0.000972011
42.5 49.7252 0.198977 0.297401 0.00119006
43.0 51.2055 0.201256 0.39473 0.00155143
43.5 56.5712 0.208891 0.82985 0.00306424
44.0 118.571 0.270464 11.9011 0.0271468
44.5 118.478 0.264744 11.8918 0.0265727
45.0 118.433 0.262532 11.8873 0.0263506
45.5 118.249 0.264026 11.8688 0.0265006
46.0 118.252 0.256526 11.8691 0.0257478
46.5 118.163 0.249615 11.8601 0.0250542
47.0 118.363 0.261342 11.8803 0.0262312
47.5 118.277 0.262093 11.8716 0.0263065
48.0 118.572 0.26341 11.9012 0.0264388
48.5 118.533 0.265357 11.8973 0.0266342
49.0 118.41 0.262869 11.885 0.0263844
49.5 118.578 0.265189 11.9018 0.0266173
50.0 119.209 0.255247 11.9652 0.0256194
